id,code,zip_sat_code/id,name
res_colonia_zip_sat_code_162,1,zip_sat_code_7412,San José de Valenzuela
res_colonia_zip_sat_code_163,1,zip_sat_code_7471,Los Placeres
res_colonia_zip_sat_code_164,1,zip_sat_code_7474,Presidentes
res_colonia_zip_sat_code_165,1,zip_sat_code_7510,Barrio 5 de Mayo
res_colonia_zip_sat_code_166,1,zip_sat_code_7604,Colonia Flores
res_colonia_zip_sat_code_167,1,zip_sat_code_7641,Santa Ofelia
res_colonia_zip_sat_code_168,1,zip_sat_code_7660,San Juan Bautista
res_colonia_zip_sat_code_169,1,zip_sat_code_7674,Panamericana
res_colonia_zip_sat_code_170,1,zip_sat_code_7828,El Quijote
res_colonia_zip_sat_code_171,1,zip_sat_code_7928,La Haciendita Fiereña
res_colonia_zip_sat_code_172,1,zip_sat_code_7960,Agua de Pinole
res_colonia_zip_sat_code_173,1,zip_sat_code_8000,San Pedro
res_colonia_zip_sat_code_174,1,zip_sat_code_29982,Victoria de Durango Centro
res_colonia_zip_sat_code_175,1,zip_sat_code_30552,El Durazno
res_colonia_zip_sat_code_176,1,zip_sat_code_30596,Piedra de Amolar
res_colonia_zip_sat_code_177,1,zip_sat_code_30676,El Limoncito
res_colonia_zip_sat_code_178,1,zip_sat_code_30876,Loma Bonita
res_colonia_zip_sat_code_179,1,zip_sat_code_31122,Aquiles Serdán
res_colonia_zip_sat_code_180,1,zip_sat_code_31156,La Gloria
res_colonia_zip_sat_code_181,1,zip_sat_code_31196,Venustiano Carranza (El Seis)
res_colonia_zip_sat_code_182,1,zip_sat_code_31365,El Molino
res_colonia_zip_sat_code_183,1,zip_sat_code_31395,El Alto de los Lirios
res_colonia_zip_sat_code_184,1,zip_sat_code_31615,La Vinata
res_colonia_zip_sat_code_185,1,zip_sat_code_31785,Juan Pablo II
res_colonia_zip_sat_code_186,1,zip_sat_code_31899,Los Tenamastes
res_colonia_zip_sat_code_187,1,zip_sat_code_34983,Guanajuato Centro
res_colonia_zip_sat_code_188,1,zip_sat_code_35258,Parque Industrial Santa Fe Ampliación
res_colonia_zip_sat_code_189,1,zip_sat_code_35388,Residencial Valle del Laurel
res_colonia_zip_sat_code_190,1,zip_sat_code_35423,La Cruz del Derramadero
res_colonia_zip_sat_code_191,1,zip_sat_code_35478,Agua Nueva
res_colonia_zip_sat_code_192,1,zip_sat_code_35537,El Zapote del Milagro
res_colonia_zip_sat_code_193,1,zip_sat_code_35703,Real Bugambilias
res_colonia_zip_sat_code_194,1,zip_sat_code_35889,Los Sabinos
res_colonia_zip_sat_code_195,1,zip_sat_code_35943,Nuevo Camino Real
res_colonia_zip_sat_code_196,1,zip_sat_code_35981,Carmen Rodríguez
res_colonia_zip_sat_code_197,1,zip_sat_code_36276,Sierra Nogal
res_colonia_zip_sat_code_198,1,zip_sat_code_36599,San José de Rancho Nuevo (Los Arrieros)
res_colonia_zip_sat_code_199,1,zip_sat_code_36817,Peñuelitas (Peñuelas)
res_colonia_zip_sat_code_200,1,zip_sat_code_36850,Ama Lur
res_colonia_zip_sat_code_201,1,zip_sat_code_36876,Polo Habitacional La Esmeralda
res_colonia_zip_sat_code_202,1,zip_sat_code_36898,Mineral de Pozos
res_colonia_zip_sat_code_203,1,zip_sat_code_36907,La Lagunita
res_colonia_zip_sat_code_204,1,zip_sat_code_36916,Agua Zarca del Pinal
res_colonia_zip_sat_code_205,1,zip_sat_code_36950,Bordo la Luz
res_colonia_zip_sat_code_206,1,zip_sat_code_37016,Villas Vicenza
res_colonia_zip_sat_code_207,1,zip_sat_code_37168,Villas de Castillo
res_colonia_zip_sat_code_208,1,zip_sat_code_37243,Punta Norte
res_colonia_zip_sat_code_209,1,zip_sat_code_37386,Las Haciendas
res_colonia_zip_sat_code_210,1,zip_sat_code_37470,Aarón García Tamayo (San Ramón)
res_colonia_zip_sat_code_211,1,zip_sat_code_37478,Las Cuatas
res_colonia_zip_sat_code_212,1,zip_sat_code_37579,La Tortuga
res_colonia_zip_sat_code_213,1,zip_sat_code_37779,Centude
res_colonia_zip_sat_code_214,1,zip_sat_code_37819,El Planchón
res_colonia_zip_sat_code_215,1,zip_sat_code_37889,Celeste
res_colonia_zip_sat_code_216,1,zip_sat_code_37967,Lindavista
res_colonia_zip_sat_code_217,1,zip_sat_code_31983,Chilpancingo de los Bravos Centro
res_colonia_zip_sat_code_218,1,zip_sat_code_32889,Joyas del Marques
res_colonia_zip_sat_code_219,1,zip_sat_code_33009,Fidel Castro
res_colonia_zip_sat_code_220,1,zip_sat_code_33322,San Isidro (La Hacienda de San Isidro)
res_colonia_zip_sat_code_221,1,zip_sat_code_33387,12 de Mayo
res_colonia_zip_sat_code_222,1,zip_sat_code_33451,La Camila (Puente de Dios)
res_colonia_zip_sat_code_223,1,zip_sat_code_33475,Sabino Alto
res_colonia_zip_sat_code_224,1,zip_sat_code_33482,Adrés Manuel López Obrador
res_colonia_zip_sat_code_225,1,zip_sat_code_33635,El Coyol
res_colonia_zip_sat_code_226,1,zip_sat_code_33668,La Cacánicua de Arriba
res_colonia_zip_sat_code_227,1,zip_sat_code_33696,Zetina
res_colonia_zip_sat_code_228,1,zip_sat_code_34105,Cacalotepec
res_colonia_zip_sat_code_229,1,zip_sat_code_34151,Huixcomulco
res_colonia_zip_sat_code_230,1,zip_sat_code_34310,Barranca del Otate
res_colonia_zip_sat_code_231,1,zip_sat_code_34362,De santa Cruz
res_colonia_zip_sat_code_232,1,zip_sat_code_34472,Quiahuitepec
res_colonia_zip_sat_code_233,1,zip_sat_code_34485,Laguna Seca
res_colonia_zip_sat_code_234,1,zip_sat_code_34622,De la Navidad
res_colonia_zip_sat_code_235,1,zip_sat_code_37984,Centro
res_colonia_zip_sat_code_236,1,zip_sat_code_38170,Loma Escondida
res_colonia_zip_sat_code_237,1,zip_sat_code_38182,La Fortaleza
res_colonia_zip_sat_code_238,1,zip_sat_code_38286,Vista Hermosa
res_colonia_zip_sat_code_239,1,zip_sat_code_38318,El Sabino
res_colonia_zip_sat_code_240,1,zip_sat_code_38348,Del Tedra
res_colonia_zip_sat_code_241,1,zip_sat_code_38587,Eulalio Ángeles Martínez
res_colonia_zip_sat_code_242,1,zip_sat_code_38904,Tercera Manzana
res_colonia_zip_sat_code_243,1,zip_sat_code_38966,Loma Bonita 2da. Sección
res_colonia_zip_sat_code_244,1,zip_sat_code_39188,Vista Hermosa
res_colonia_zip_sat_code_245,1,zip_sat_code_39411,San Antonio el Grande
res_colonia_zip_sat_code_246,1,zip_sat_code_39608,Privada Riva Palacio
res_colonia_zip_sat_code_247,1,zip_sat_code_39724,Loma de Cuautepec
res_colonia_zip_sat_code_248,1,zip_sat_code_39758,Ex-Hacienda de San Francisco
res_colonia_zip_sat_code_249,1,zip_sat_code_39794,La Gloria
res_colonia_zip_sat_code_250,1,zip_sat_code_39829,Valle Diamante
res_colonia_zip_sat_code_251,1,zip_sat_code_39849,Lomas del Álamo
res_colonia_zip_sat_code_252,1,zip_sat_code_39890,Ampliación Loma Bonita
res_colonia_zip_sat_code_253,1,zip_sat_code_39977,Villas Napoleón
res_colonia_zip_sat_code_254,1,zip_sat_code_41118,Altavista Residencial
res_colonia_zip_sat_code_255,1,zip_sat_code_41291,La Estancia
res_colonia_zip_sat_code_256,1,zip_sat_code_41340,La Cima
res_colonia_zip_sat_code_257,1,zip_sat_code_41395,Misión de los Viñedos
res_colonia_zip_sat_code_258,1,zip_sat_code_41417,Lomas de Huizquilco
res_colonia_zip_sat_code_259,1,zip_sat_code_41584,Las Terrazas Residencial
